cnty,ExcessDrink_Percent,femalePOP165210D$10,hispanicPOP405210D$10,blackPOP255210D$10,forgnbornHC03_VC134ACS3yr$10,hsgradHC03_VC93ACS3yr$10,bachdegHC03_VC94ACS3yr$10,logincomeHC01_VC85ACS3yr$10,unemployAve_BLSLAUS$0910,marriedaveHC03_AC3yr$10,age_1to14,age_15to29,age_30to60,age_gte61,avg_zhs_zloginc
39085,23,51.3,3.4,3.2,5.1,91,24,4.7366,8.30000019073486,52.65,0.170956153,0.172345323,0.42431950500000004,0.2223631775,1.781559418920087
39087,13,51.4,0.7,2,0.4,81.9,13.9,4.57449,8.35000038146973,50.3,0.181533064,0.180605372,0.41013997,0.21599668600000002,-1.12805834000521
39089,20,51,1.4,3.4,1.6,88.5,21.7,4.71166,9.35000038146973,54.65,0.192025275,0.186933814,0.41844623799999997,0.1903642655,1.169007769645166
39091,18,50.7,1.2,1.6,1.1,86.5,15.1,4.65504,11.3999996185303,54.8,0.19597271650000003,0.176979052,0.409080715,0.20603439950000002,0.3294329645863741
39093,19,50.8,8.4,8.6,3,88.8,21,4.70609,9.64999961853027,51.8,0.18490335949999998,0.181683181,0.41937562599999995,0.20272347649999997,1.160890063041178
39095,19,51.6,6.1,19,3.8,87.4,22.6,4.60224,11.6999998092651,43.3,0.18391101399999998,0.2198416135,0.39735587499999997,0.18559921100000001,-0.038943922453285984
39097,18,45.4,1.4,6.6,2.2,83.8,15.8,4.69514,9.35000038146973,51.15,0.17158855750000002,0.190050481,0.45095170500000004,0.176080466,0.30688250453498783
39099,16,51.6,4.7,15.7,2.9,87.9,20.3,4.5998,11.8000001907349,46.65,0.16387009800000002,0.1806421865,0.4038400055,0.24126237,0.012759853149343026
39101,19,47.6,2.3,5.7,1.3,83.4,12,4.57771,10.9499998092651,47,0.1691987425,0.19226033000000003,0.42425672350000004,0.2021669445,-0.872475677464985
39103,17,50.7,1.6,1.2,3.2,93.4,30.4,4.8105,8.05000019073486,62.45,0.1976336665,0.1640825615,0.437423103,0.190354919,2.84582406882571
